PosTxt_E,ID,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Food and non-alcoholic beverages,1.0,0.0,4.414699999999996,6.961165703599974,9.748359759504368,11.725805705651098,14.241535672725263,12.63906965184394,19.713479060397646,24.6886515366687,22.59375750220113,25.263849540599082,30.556372447538905,34.78039332170658,33.05992160095502,31.641902016453628,33.9802571219719,34.50921117708947,38.997111008013036,44.701830438003924,50.8383456632188,49.191040090230786,48.45597583570623,47.129224779662536,45.651017458301254,42.44494726200912,49.93926082735797,54.41674703418454,62.55512726987422,71.33147859117472,72.47974216069275,71.55732049961736,74.98726600836619,93.53976592510517,90.44603276679237,88.01232291406552,83.96817784818396,90.23744541289437,97.09265175834804,92.17420463371849,109.07073722772893
Alcoholic beverages and tobacco,2.0,0.0,0.7147000000000077,2.5666419035999866,6.572689803070801,8.5994892177456,8.981433621324413,9.087472556237955,15.284295522267598,19.3836897867439,18.213610243144032,21.2611571152123,27.233390364293612,33.00393355087576,35.16325241207423,36.561245931772305,39.80635081884901,44.83210951808502,49.22993652360168,54.906941768832525,60.39188676298332,58.31946319411881,62.28900709478495,69.60223662149727,69.76386755299757,68.74324718126894,76.77745066606352,87.18292496716933,101.35342111888392,122.29216338103666,128.4501008910181,127.45679985234395,132.2318004516442,158.71133480274153,152.24743210269506,149.2762095999574,142.41862107386257,152.3766931903347,163.7424775681614,162.171891114243,184.6984865144521
Clothing and footwear,3.0,0.0,3.614699999999999,7.488646403600001,13.084290358078604,16.59193887640548,18.634279869703477,18.27517390453788,23.811161694313668,28.461385116390375,30.799253864123585,37.04884221375141,42.83929284612461,47.17503674117586,46.03222258088064,43.74579607193178,46.29915264755749,47.90083577074296,50.91283629121412,46.0899638690195,45.41911875493295,41.50429065893141,36.27896171776905,35.878710407203954,37.09523250147964,33.80330177865412,42.047190807840565,49.98223098074814,61.18650356393394,77.46472855885563,69.78086074171429,60.55361052212359,60.2313794258057,78.98197590897232,77.73178680724817,79.72611518701228,76.39938479490067,85.58591195624953,92.64467211750545,90.14896039022318,107.4378743157834
Housing and energy,4.0,0.0,3.4146999999999963,6.867510003599989,6.7668408091766,9.331166791731391,11.246320840422158,13.579489927408318,24.00676857968398,34.74067046117284,40.022370002580345,49.793130981360406,55.82245429649112,62.4221585257647,64.08454931827589,62.4999848255093,62.94897228358221,65.38473352127718,74.21048982564011,81.53464723888965,85.23940631974091,81.54925210644535,82.65180071448779,87.77755819793845,91.14872870026602,89.99954254332002,103.41579024138895,107.6594504574048,125.87201490032103,150.94154983410766,157.1403079981098,152.93657824295667,158.2464758300111,186.14277664212057,180.1380704742857,178.79929063548911,172.80231789391974,182.91728223679047,192.2634546554828,194.03018723887521,227.23295807245069
Household goods and services,5.0,0.0,1.7147000000000077,3.6867446036000047,7.840228218931003,10.430334820293268,11.591730651598311,11.14235075226432,16.455621972327066,20.713123056013373,22.66855493639774,27.425641496831247,32.42722535122337,36.84420302558806,36.32898460119674,33.921823720093414,35.631067956232954,37.115956888217795,40.59390313468742,44.255249560120944,47.34346594270403,44.70292368954483,43.70056653714735,43.42221853976491,42.124677728635646,38.71197996701565,42.819519117798905,48.512590788872586,57.379386509331425,69.02388731715686,68.63547042410204,63.011814756399076,63.17368548845218,78.35242805995898,70.86430136786163,64.92181183058878,58.40575104516222,66.33839424600185,71.50070631142651,72.36592737476767,93.03656648333194
Healthcare,6.0,0.0,3.8146999999999878,7.799938703599977,12.118188648188777,16.26857975556743,20.514359482501504,19.788019437900473,25.634393514586634,33.24268675143648,38.46566682940605,46.604678725638536,55.144547866085674,61.87068459427192,63.68930173568859,62.10855414882704,64.50176273372614,65.97372450666751,69.68572685525913,74.10468255402378,78.18012496324835,75.52149931867172,75.3587908888033,76.0712736561845,74.30228556976081,69.24542766081092,72.56466898809478,78.58061847835774,89.59975696094631,105.71384030505715,108.53253134491706,103.03811620904119,103.44277117464583,125.82595174482267,120.40951629222312,115.6092174368948,106.0124511687786,112.41490612620188,118.15754311332373,115.33131214229064,129.74192954478917
Transport,7.0,0.0,2.114699999999999,6.238908503599987,5.71387581777519,7.830056183895394,9.718915278068692,13.33667707153245,19.774880349257913,23.794405558898646,27.656667217930718,37.84111612857723,45.45697563579725,51.617660381875794,50.591966909392426,49.13770028494841,49.251492350265835,52.82576708907001,61.1341399168673,64.36359034908116,66.89610454917982,63.57136725045561,64.40116479651715,69.67235934338788,72.71848721067971,69.78020030625163,79.39179700598916,79.18764914099634,94.90312272125828,114.00167971671439,112.86789881757522,107.25925541952975,107.05054534932228,121.54863863577253,111.8038217653781,111.4270227664575,109.8392058254814,117.61962389907859,117.8448602098141,124.60785389502777,160.5278157134823
Communications,8.0,0.0,15.214700000000008,17.90934140360001,19.09527355943743,14.929082699781176,8.78233056974878,5.624705860300679,6.449212314246182,15.237552833698032,17.91094882188699,24.134288700706193,30.62042941960678,37.589551810860456,32.39348238672332,24.76007137275201,17.494419096217058,9.381194468785097,-8.298634899176974,-9.853706648556738,-8.645025147300572,-11.195747400162787,-12.698936983920234,-17.844199734898922,-24.33836927845438,-28.651990169151148,-29.17910926578145,-30.392837691184496,-26.933083295787128,-20.503925294983432,-19.653158303490343,-22.894992672261125,-23.820792495245286,-15.82029976468094,-18.765326577413575,-21.428117937532534,-23.825346059258422,-20.696243624680648,-18.076444032821982,-19.465457924245484,-14.236913849061267
Recreation and culture,9.0,0.0,3.0146999999999906,6.351140103599974,11.462163194698775,14.139261430309034,16.13863887278376,16.25164176840697,21.111657904176994,27.719388847770986,30.299192783107117,37.69758094933195,42.96465111822482,46.589376882676305,44.86475286365163,42.59660542806543,45.12954893028416,46.573297683042625,49.11854299730865,52.10717683606072,54.907165747258915,51.20163143541873,49.095846314417656,47.91247258222012,46.13057102502211,41.452639185369094,45.35842945855549,49.11768916121267,55.48561095915309,63.88027909483776,62.02875970162427,59.217884778320496,61.12738487046687,76.27690385075792,74.1642251581066,72.98356587575981,69.95462363727526,75.06651880703723,76.47317828565178,73.48107554781856,89.08101430430506
Education,10.0,0.0,6.014699999999991,9.97837760359998,18.67304818018539,25.795567185863746,31.269812883090992,33.49785541715568,40.280347459479685,49.19642606365673,58.028705290199156,70.79426410354145,82.6219376869758,92.73079242570063,99.13620031196882,102.78895563429126,109.02735227646895,112.77897519512703,119.66556672731733,126.48442524966671,133.8243325031579,132.67368296290988,133.8540365565807,135.973455689893,137.3782056716149,134.76419687075906,143.3593836465913,155.00705046668443,174.31210421521433,202.0148836199088,212.19338922766696,212.08474592821574,220.50884947505608,260.9000157036015,256.5746290153939,253.80083497628317,245.48297734599072,259.32924411206335,274.79297813242596,274.0602578601771,302.4600348176953
